label,corpus name,sound type,num channels,sampling rate [kHz],compression,SNR [dB],RT60 [ms],Duration [h],language,license,project page link,download link,,
sisec2010-d2-3,2010 Signal Separation Evaluation Campaign -- D2-3 Overdetermined speech and music mixtures for human-robot interaction,"speech, music",3+,16,no,N/A,N/A,,N/A,research only,http://sisec2010.wiki.irisa.fr/tiki-index.php,http://sisec2010.wiki.irisa.fr/tiki-indexe056.html?page=Overdetermined+speech+and+music+mixtures+for+human-robot+interaction,,
sisec2010-d2-4,2010 Signal Separation Evaluation Campaign -- D2-4 Determined convolutive mixtures under dynamic conditions,"speech, music",2,16,no,N/A,700-800,0.1,N/A,research only,http://sisec2010.wiki.irisa.fr/tiki-index.php,http://sisec2010.wiki.irisa.fr/tiki-indexce13.html?page=Determined+convolutive+mixtures+under+dynamic+conditions,,
sisec2010-d3,2010 Signal Separation Evaluation Campaign -- D3 Professionally produced music recordings,music,2,44.1,no,N/A,N/A,,N/A,CC (various),http://sisec2010.wiki.irisa.fr/tiki-index.php,http://sisec2010.wiki.irisa.fr/tiki-index165d.html?page=Professionally+produced+music+recordings,,
sisec2010-d4,2010 Signal Separation Evaluation Campaign -- D4 Source separation in the presence of real-world background noise,speech,"2, 3+",16,no,w/,N/A,,N/A,CC BY-NC-SA 3.0,http://sisec2010.wiki.irisa.fr/tiki-index.php,http://sisec2010.wiki.irisa.fr/tiki-indexa8a1.html?page=Source+separation+in+the+presence+of+real-world+background+noise,,
sisec2011-d1,2011 Signal Separation Evaluation Campaign -- D1 Under-determined speech and music mixtures,"speech, music","2, 3+",16,no,N/A,130 or 250 or 380,,N/A,CC BY-NC-SA 2.0,http://sisec2011.wiki.irisa.fr/tiki-index.php,http://sisec2011.wiki.irisa.fr/tiki-indexbfd7.html?page=Underdetermined+speech+and+music+mixtures,,
sisec2011-d2,2011 Signal Separation Evaluation Campaign -- D2 Determined convolutive mixtures under dynamic conditions,speech,3+,16,no,N/A,700,,N/A,,http://sisec2011.wiki.irisa.fr/tiki-index.php,http://sisec2011.wiki.irisa.fr/tiki-indexce13.html?page=Determined+convolutive+mixtures+under+dynamic+conditions,,
sisec2011-d3,2011 Signal Separation Evaluation Campaign -- D3 Professionally produced music recordings,music,2,44.1,no,N/A,N/A,,N/A,CC (various),http://sisec2011.wiki.irisa.fr/tiki-index.php,http://sisec2011.wiki.irisa.fr/tiki-index165d.html?page=Professionally+produced+music+recordings,,
sisec2011-d4,2011 Signal Separation Evaluation Campaign -- D4 Two-channel mixtures of speech and real-world background noise,"speech, audio",2,16,no,w/,N/A,,N/A,CC BY-NC-SA 3.0,http://sisec2011.wiki.irisa.fr/tiki-index.php,http://sisec2011.wiki.irisa.fr/tiki-index79f3.html?page=Two-channel+mixtures+of+speech+and+real-world+background+noise,,
sisec2013-d3,2013 Signal Separation Evaluation Campaign -- D3 Professionally produced music recordings,music,2,44.1,no,N/A,N/A,,N/A,CC (various),http://sisec.wiki.irisa.fr/tiki-index.html,http://sisec.wiki.irisa.fr/tiki-index165d.html?page=Professionally+produced+music+recordings,,
sisec2013-d4,2013 Signal Separation Evaluation Campaign -- D4 Two-channel noisy recordings of a moving speaker within a limited area,"speech, audio",2,"16, 44.1",no,w/,N/A,,N/A,CC BY-NC-SA 3.0,http://sisec.wiki.irisa.fr/tiki-index.html,http://sisec.wiki.irisa.fr/tiki-index98cf.html?page=Two-channel+noisy+recordings+of+a+moving+speaker+within+a+limited+area,,
sisec2013-d5,2013 Signal Separation Evaluation Campaign -- D5 Asynchronous recordings of speech mixtures,"speech, audio",2,"16, others",no,N/A,150 or 300,,N/A,CC BY-NC-SA 3.0,http://sisec.wiki.irisa.fr/tiki-index.html,http://sisec.wiki.irisa.fr/tiki-indexb74c.html?page=Asynchronous+recordings+of+speech+mixtures,,
sisec2015-d4,2015 Signal Separation Evaluation Campaign -- D4 Asynchronous recordings of speech mixtures,"speech, audio",2,"16, others",no,N/A,150 or 300 or 800,,N/A,CC BY-NC-SA 3.0,https://sisec.inria.fr/sisec-2015/,https://sisec.inria.fr/sisec-2015/2015-asynchronous-recordings-of-speech-mixtures/,,
slakh2100,slakh2100: a dataset of multi-track audio and aligned MIDI for music source separation and multi-instrument automatic transcription,music,1,44.1,no,w/o,w/o,145,N/A,CC BY 4.0,http://www.slakh.com/,https://zenodo.org/records/4599666,,
slidespeech,"SlideSpeech: A Large-scale English Multi-Modal Audio-Visual Corpus, provided by Alibaba Group",speech,1,16,yes,w/,w/o,1000,eng,CC BY-SA 4.0,https://www.openslr.org/144/,https://www.openslr.org/144/,,
slurp,SLURP: A Spoken Language Understanding Resource Package,speech,,,,w/,w/o,58,eng,CC BY-NC 4.0,https://zenodo.org/records/4274930,https://zenodo.org/records/4274930,,
smard,SMARD: estimating impulse reponses between all loudspeaker-microphone pairs,"speech, music, others",others,48+,no,w/o,150,4,eng,"If you choose to use parts of the recordings from our database for your research or any other purpose, we would kindly ask you to cite our work by citing our IWAENC2014 paper:",https://www.smard.es.aau.dk/,https://www.smard.es.aau.dk/downloads/,,
smiip-tv,SMIIP-TV dataset: A short-term time-varying speaker verificaition dataset,speech,1,16,yes,w/,w/,300,cmn,CC BY-SA 3.0,https://www.openslr.org/156/,https://www.openslr.org/156/,,
somos-v2,SOMOS: The Samsung Open MOS Dataset for the Evaluation of Neural Text-to-Speech Synthesis,speech,1,24,no,w/o,w/o,30,eng,CC BY-NC 4.0,https://zenodo.org/records/7378801,https://zenodo.org/records/7378801,,
songdiscriber,Song Discriber Dataset,music,2,44.1,yes,w/,w/,,eng,CC BY-SA 4.0,https://zenodo.org/records/10072001,https://zenodo.org/records/10072001,,
sonyc-ust-v2.3.0,SONYC Urban Sound Tagging (SONYC-UST): dataset for the development and evaluation of machine listening systems for realistic urban noise monitoring,"audio, music, speech",1,48+,no,w/,w/,50,N/A,CC BY 4.0,https://zenodo.org/records/3966543,https://zenodo.org/records/3966543,,
sound-vecaps,Sound-VECaps,audio,1,48+,yes,w/,w/,16000,eng,CC BY 4.0,https://github.com/yyua8222/Sound-VECaps,https://zenodo.org/records/12606207,,
sounddescs,SoundDescs: Audio Retrieval with Natural Language Queries: A Benchmark Study,audio,1,"16, 44.1",yes,N/A,w/,1060,eng,non-commercial,https://github.com/akoepke/audio-retrieval-benchmark,https://github.com/akoepke/audio-retrieval-benchmark,,
spatial-librispeech,Spatial LibriSpeech,speech,3+,16,no,w/,w/,650,eng,CC BY 4.0,https://github.com/apple/ml-spatial-librispeech,https://github.com/apple/ml-spatial-librispeech,,
speech-coco,SPEECH-COCO,speech,1,24,yes,w/o,w/o,600,"eng, jpn",CC BY 4.0,https://zenodo.org/records/4282267,https://zenodo.org/records/4282267,,
speech-command,Speech Commands,speech,1,16,yes,w/,w/,18,eng,CC BY 4.0,https://huggingface.co/datasets/google/speech_commands,https://huggingface.co/datasets/google/speech_commands,,
speech-massive,Speech-MASSIVE,speech,,,yes,w/,w/,80,"eng, others",CC BY-NC-SA 4.0,https://huggingface.co/datasets/FBK-MT/Speech-MASSIVE,https://huggingface.co/datasets/FBK-MT/Speech-MASSIVE,,
speechocean762,speechocean762: Deeply parent-child vocal interaction dataset,speech,1,16,no,"w/, w/o","w/, w/o",282,others,CC BY-NC-ND 4.0,https://www.openslr.org/98/,https://www.openslr.org/98/,,
speechspeed,SpeedSpeech-JA-2022,speech,1,48+,no,w/o,w/o,3,jpn,CC BY-NC 4.0,https://ast-astrec.nict.go.jp/release/speedspeech_ja_2022/download_en.html,https://ast-astrec.nict.go.jp/release/speedspeech_ja_2022/download_en.html,,
spgispeech,SPGISpeech,speech,1,16,yes,w/,w/,5000,eng,https://datasets.kensho.com/datasets/spgispeech,https://datasets.kensho.com/datasets/spgispeech,https://datasets.kensho.com/datasets/spgispeech,,
spoken-coco,Synthetically Spoken COCO,speech,1,24,yes,w/o,w/o,350,eng,CC BY 4.0,https://zenodo.org/records/400926,https://zenodo.org/records/400926,,
src4vc,Smartphone-Recorded Corpus for Voice Conversion,speech,1,"48+, 22.05",no,w/,w/o,11,jpn,research only,https://y-saito.sakura.ne.jp/sython/Corpus/SRC4VC/index.html,https://y-saito.sakura.ne.jp/sython/Corpus/SRC4VC/index.html,,
stcmds,Free ST Chinese Mandarin Corpus,speech,,,no,w/o,w/o,110,cmn,CC BY-NC-ND 4.0,https://openslr.trmal.net/38/,https://openslr.trmal.net/38/,,
stemgmd,StemGMD dataset,music,2,44.1,no,w/o,w/o,1224,N/A,CC BY 4.0,https://zenodo.org/records/7860223,https://zenodo.org/records/7860223,,
studies,STUDIES Corpus: Japanese empathetic dialogue speech corpus,speech,1,48+,no,w/o,w/o,8,jpn,research only,https://sython.org/Corpus/STUDIES/,https://www.nii.ac.jp/dsc/idr/speech/submit/STUDIES.html,,
studiomaestro,StudioMAESTRO dataset,music,1,16,no,w/o,w/o,,N/A,CC BY-NC 4.0,https://zenodo.org/records/10082144,https://zenodo.org/records/10082144,,
supra-rw,SUPRA-RW: 457 MIDI and audio transcriptsion of Red Welte-Mignon piano rolls scanned by the Stanford Libraries' Digital Production Group in 2018 and 2019,music,1,44.1,yes,w/o,w/o,52,N/A,CC BY-NC-SA 4.0,https://supra.stanford.edu/download/,https://purl.stanford.edu/xf457dx9166,,
tau-as,TAU-Urban Acoustic Scenes 2019,audio,2,48+,yes,w/,w/,40,N/A,non-commercial,https://zenodo.org/records/2589280,https://zenodo.org/records/2589280,,
tau-sebin,TAU-SEBin Binaural Sound Events 2021,audio,2,24,no,w/,w/,3,N/A,non-commercial,https://zenodo.org/records/5118587,https://zenodo.org/records/5118587,,
ted-lium-v1,TED-LIUM: English speech recognition training corpus from TED talks,speech,1,16,no,w/,w/,118,eng,CC BY-NC-ND 3.0,https://www.openslr.org/7/,https://www.openslr.org/7/,,
ted-lium-v2,TED-LIUMv2: English speech recognition training corpus from TED talks,speech,1,16,no,w/,w/,207,eng,CC BY-NC-ND 3.0,https://www.openslr.org/19/,https://www.openslr.org/19/,,
tedlium-3,TEDLIUM 3: English speech recognition training corpus from TED talks,speech,1,16,no,w/,w/,452,eng,CC BY-NC-ND 3.0,https://www.openslr.org/51/,https://www.openslr.org/51/,,
tess,TESS: Toronto emotional speech set,speech,1,others,no,w/o,w/o,1.5,eng,CC BY-NC 4.0,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP2/E8H2MF,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP2/E8H2MF,,
this-american-life,This american life,speech,,,,,,,eng,,,,,
timit,TIMIT Acoustic-Phonetic Continuous Speech Corpus,speech,1,16,no,N/A,N/A,5,eng,non-commercial,https://catalog.ldc.upenn.edu/LDC93S1,https://catalog.ldc.upenn.edu/LDC93S1,,
tmw,Tohoku University - Matsushita Isolated Word Database,speech,1,24,no,w/,w/,,jpn,non-commercial,https://research.nii.ac.jp/src/TMW.html,https://www.nii.ac.jp/dsc/idr/speech/submit/TMW.html,,
tohoku-folktale,Tohoku folktale corpus,speech,1,16,yes,w/,w/,10,jpn,OK for commercial use,https://sites.google.com/site/shinnosuketakamichi/research-topics/tohoku-dialect_corpus,https://sites.google.com/site/shinnosuketakamichi/research-topics/tohoku-dialect_corpus,,
tonas,TONAS: a dataset of flamenco a cappella sung melodies with corresponding manual transcriptions,music,,,,,,0.6,others,non-commercial,https://zenodo.org/records/1290722,https://zenodo.org/records/1290722,,
torgo,The TORGO Database: Acoustic and articulatory speech from speakers with dysarthria,speech,1,16,no,w/,w/,,eng,non-commercial,https://www.cs.toronto.edu/~complingweb/data/TORGO/torgo.html,https://www.cs.toronto.edu/~complingweb/data/TORGO/torgo.html,,
toyadmos,ToyADMOS dataset,audio,3+,48+,no,w/,w/,180,N/A,non-commercial,https://zenodo.org/record/3351307#.YlAc2tPP1di,https://zenodo.org/records/3351307#.YlAc2tPP1di,,
toyadmos2,ToyADMOS2: Another dataset of miniature-machine operating sounds for anomalous sound detection under domain shift conditions,audio,"2, 3+",48+,no,w/,w/,200,N/A,non-commercial,https://github.com/nttcslab/ToyADMOS2-dataset?tab=readme-ov-file,https://zenodo.org/records/4580270#.YLniqmb7RzU,,
tsp-speech,TSP Speech Database,speech,2,48+,no,over 40 dB,w/o,3,eng,Simplified BSD,https://www.mmsp.ece.mcgill.ca/Documents/Data//,https://www.mmsp.ece.mcgill.ca/Documents/Data/TSP-Speech-Database/48k.zip,,
tsukuyomi,つくよみちゃんコーパス,speech,1,48+,no,w/o,w/o,1,jpn,OK for commercial use,https://tyc.rei-yumesaki.net/material/corpus/#toc4,https://tyc.rei-yumesaki.net/material/corpus/#toc4,,
tsuruoka91-92,鶴岡調査音声データベース91-92 (Tsuruoka91-92),speech,1,16,unknown,w/,w/,400,jpn,non-commercial,https://research.nii.ac.jp/src/Tsuruoka91-92.html,https://www.nii.ac.jp/dsc/idr/speech/submit/Tsuruoka91-92.html,,
tunebot,Tunebot,,,,,,,,,,https://interactiveaudiolab.github.io/resources/datasets/tunebot.html,https://interactiveaudiolab.github.io/resources/datasets/tunebot.html,,
tut2017,TUT Acoustic Scenes 2017,audio,1,44.1,no,w/,w/,0.9,N/A,non-commercial,https://zenodo.org/records/400515,https://zenodo.org/records/400515,,
tut2018,TUT Urban Acoustic Scenes 2018,audio,"1, 2","44.1, 48+",no,w/,w/,24,N/A,non-commercial,https://zenodo.org/records/1228142,https://zenodo.org/records/1228142,,
ua-speech-high,UA-SPEECH_high-severity,speech,3+,16,no,w/,w/,30,eng,none,https://github.com/ffxiong/uaspeech,https://huggingface.co/datasets/ngdiana/uaspeech_severity_high,,
ua-speech-low,UA-SPEECH_low-severity,speech,3+,16,no,w/,w/,70,eng,none,https://github.com/ffxiong/uaspeech,https://huggingface.co/datasets/ngdiana/uaspeech_severity_low,,
unmixdb,UnmixDB,music,2,44.1,yes,w/o,w/o,60,N/A,CC BY-NC-ND 4.0,https://zenodo.org/records/1422385#.W7R5zxMzYWo,https://zenodo.org/records/1422385#.W7R5zxMzYWo,,
urban-soundscapes,Urban Soundscapes of the World,audio,"2, 3+",48+,no,N/A,N/A,,N/A,CC BY 4.0,https://urban-soundscapes.org/recordings/,https://zenodo.org/records/10106181,,
urmp,University of Rochester Multi-Modal Music Performance (URMP) ,music,,,,,,,,,https://labsites.rochester.edu/air/projects/URMP.html,,,
us8k,UrbanSound8K,audio,1,"44.1, 48+",yes,w/,w/,9,N/A,CC BY-NC 3.0,https://urbansounddataset.weebly.com/urbansound8k.html,https://urbansounddataset.weebly.com/download-urbansound8k.html,,
ut-ml,University of Tsukuba Multilingual Speech Corpus,speech,1,16,no,w/,w/,,"eng, jpn, others",research only,https://research.nii.ac.jp/src/UT-ML.html,https://www.nii.ac.jp/dsc/idr/speech/submit/UT-ML.html,,
uwb-atcc,UWB-ATCC Corpus,speech,1,16,yes,w/,w/,20,eng,CC BY-NC-SA 4.0,https://huggingface.co/datasets/Jzuluaga/uwb_atcc,https://huggingface.co/datasets/Jzuluaga/uwb_atcc,,
vaystadial,Vystadial,speech,1,16,no,w/,w/,60,"eng, others",CC BY-SA 3.0,https://www.openslr.org/6/,https://www.openslr.org/6/,,
vcc2020,Voice Conversion Challenge 2020 database v1.0,speech,1,24,no,w/o,w/o,0.5,"eng, cmn, others",Open Database License,https://zenodo.org/records/4345689,https://zenodo.org/records/4345689,,歌の種類は少なめ
vctk,VCTK: Centre for Speech Technology Voice Cloning Toolkit,speech,1,48+,no,w/o,w/o,44,eng,CC BY 4.0,https://datashare.ed.ac.uk/handle/10283/3443,https://huggingface.co/datasets/CSTR-Edinburgh/vctk,,
vggsound,VGGsound,audio,1,16,yes,w/,w/,560,eng,CC BY 4.0,https://github.com/hche11/VGGSound?tab=readme-ov-file,https://github.com/hche11/VGGSound?tab=readme-ov-file,,
vietnam-celeb,Vietnam-Celeb,speech,1,16,yes,w/,w/,187,others,none,https://github.com/thanhpv2102/Vietnam-Celeb.Interspeech,https://github.com/thanhpv2102/Vietnam-Celeb.Interspeech,,
violin-gestures,Violin Gestures Dataset,music,1,48+,no,w/o,w/,0.5,N/A,CC BY-NC-SA 4.0,https://interactiveaudiolab.github.io/resources/datasets/fine-grained-vis.html,https://gitlab.doc.gold.ac.uk/expressive-musical-gestures/dataset/-/tree/master/violin/Participant-08/Data,,
vocadito-v3,Vocadito dataset v3,music,1,44.1,yes,w/,w/,1,others,CC BY 4.0,https://zenodo.org/records/5578807,https://zenodo.org/records/5578807,,
vocal-imitation,Fine-grained Vocal Imitation Set,"speech, audio",1,"44.1, 48+",no,w/,w/,30,others,CC BY 4.0,https://interactiveaudiolab.github.io/resources/datasets/otomobile.html,https://zenodo.org/records/3538534,,
vocalset-v1.2,VocalSet v1.2: A Singing Voice Dataset,speech,1,44.1,no,w/o,w/o,10.1,"others, eng",CC BY 4.0,https://zenodo.org/records/1442513,https://zenodo.org/records/1442513,,
vocalsketch-v1.1.2,VocalSketch v.1.1.2,"speech, audio",1,44.1,no,w/,w/,,others,free,https://zenodo.org/records/1251982,https://zenodo.org/records/1251982,,
voiced,VOICED Database,speech,1,8,no,w/,w/,0.3,others,Open Data Commons Attribution License v1.0,https://physionet.org/content/voiced/1.0.0/,https://physionet.org/content/voiced/1.0.0/,,
voicemos2022-v2,VoiceMOS Challenge 2022,speech,1,16,no,w/o,w/o,6,eng,none,https://zenodo.org/records/10691660,https://zenodo.org/records/10691660,,
voxceleb1,"VoxCeleb1: 100,000 utterances for 1,251 celebrities",speech,1,16,yes,w/,w/,352,"eng, others",CC BY-SA 4.0,https://mm.kaist.ac.kr/datasets/voxceleb/,https://mm.kaist.ac.kr/datasets/voxceleb/,,
voxceleb2,"VoxCeleb2: 1 million utterances for 6,112 celebrities",speech,1,16,yes,w/,w/,2442,"eng, others",CC BY-SA 4.0,https://mm.kaist.ac.kr/datasets/voxceleb/,https://mm.kaist.ac.kr/datasets/voxceleb/,,
voxconverse,"VoxConverse: audio-visual diarisation dataset consisting of over 50 hours of multispeaker clips of human speech, extracted from YouTube videos",speech,1,16,yes,w/,w/,50,eng,CC BY 4.0,https://mmai.io/datasets/voxconverse/,https://mmai.io/datasets/voxconverse/,,
voxlingua,VoxLingua: ECAPA-TDNN Spoken Language Identification Model,speech,1,16,yes,w/,w/,6628,"eng, jpn, cmn, others",Apache License v2.0,https://huggingface.co/speechbrain/lang-id-voxlingua107-ecapa,https://huggingface.co/speechbrain/lang-id-voxlingua107-ecapa,,
voxmovies,"VoxMovies: an audio dataset, containing utterances sourced from movies with varying emotion, accents and background noise",speech,1,16,yes,w/,w/,1270,eng,CC BY 4.0,https://mmai.io/datasets/voxmovies/,https://mmai.io/datasets/voxmovies/,,
voxpopuli,"VoxPopuli: A large-scale multilingual speech corpus for representation learning, semi-supervised learning and interpretation",speech,1,16,yes,w/,w/,400000,"eng, others",CC BY-NC 4.0,https://github.com/facebookresearch/voxpopuli,https://github.com/facebookresearch/voxpopuli,,
voxtube,VoxTube: a multilingual speaker recognition dataset,speech,1,16,yes,w/,w/,4933,"eng, others",CC BY-NC-SA 4.0,https://github.com/IDRnD/VoxTube,https://huggingface.co/datasets/voice-is-cool/voxtube,,
wagnerring,Wagner Ring Dataset,music,2,22.05,no,w/,w/,200,N/A,CC BY 3.0,https://zenodo.org/records/7672157,https://zenodo.org/records/7672157,,
wavcaps,WavCaps: A ChatGPT-Assisted Weakly-Labelled Audio Captioning Dataset for Audio-Language Multimodal Research,audio,1,32,yes,w/,w/,14883,eng,academic only,https://github.com/XinhaoMei/WavCaps,https://huggingface.co/datasets/cvssp/WavCaps,,
wavtext5k,WavText5K: Audio Retrieval with WavText5K and CLAP Training,audio,1,44.1,yes,N/A,w/,25,eng,MIT,https://github.com/microsoft/WavText5K,https://github.com/microsoft/WavText5K,,
wearable-SELD,Wearable SELD dataset is a dataset to develop a sound event localization and detection (SELD) system with wearable devices,audio,3+,48+,no,w/,w/,7,N/A,non-commercial,https://github.com/nttrd-mdlab/wearable-seld-dataset/,https://github.com/nttrd-mdlab/wearable-seld-dataset/,,
wenetspeech,WenetSpeech: A 10000+ Hours Multi-domain Chinese Corpus for Speech Recognition,speech,1,16,yes,w/,w/,10000,cmn,research only,https://wenet.org.cn/WenetSpeech/,https://github.com/wenet-e2e/WenetSpeech,,
wenetspeech-tts,"WenetSpeech4TTS: A 12,800-hour Mandarin TTS Corpus for Large Speech Generation Model Benchmark",speech,1,24,yes,w/,w/,12800,cmn,CC BY 4.0,https://huggingface.co/datasets/Wenetspeech4TTS/WenetSpeech4TTS,https://huggingface.co/datasets/Wenetspeech4TTS/WenetSpeech4TTS,,
wham-48k,WHAM!48kHz noise dataset: Full-length noise recordings at the original sample rate.,audio,2,48+,no,N/A,w/,80,eng,CC BY-NC 4.0,http://wham.whisper.ai/,http://wham.whisper.ai/,,
wikimute,WikiMuTe: A web-sourced dataset of semantic descriptions for music audio,music,1,44.1,yes,w/,w/,202,eng,CC BY-SA 3.0,https://zenodo.org/records/10223363,https://zenodo.org/records/10223363,,
wilddesed-v3,WildDESED v3: An LLM-Powered Dataset for Wild Domestic Environment Sound Event Detection,audio,1,16,no,w/,w/,20,eng,CC BY 4.0,https://github.com/swagshaw/WildDESED?tab=readme-ov-file,https://zenodo.org/records/14013803,,
wildsvdd,SVDD Challenge 2024: A Singing Voice Deepfake Detection Challenge (WildSVDD Track),speech,1,16,no,w/o,w/o,150,"eng, cmn, others",CC BY 4.0,https://github.com/SVDDChallenge/CtrSVDD2024_Baseline,https://zenodo.org/records/10893604,,
wsj-multi,Multi-Channel WSJ Audio,speech,3+,16,yes,w/o,w/,100,eng,Multi-Channel WSJ Audio,https://catalog.ldc.upenn.edu/LDC2014S03,https://catalog.ldc.upenn.edu/LDC2014S03,,
wsj0-mix,WSJ0-mix,speech,,8,,0-10,N/A,40,eng,,https://www.merl.com/research/highlights/deep-clustering,,,
wtkn,Watkins Marine Mammal Sound Database,audio,1,others,yes,w/,w/,27,"N/A, eng",CC BY 4.0,https://whoicf2.whoi.edu/science/B/whalesounds/index.cfm,https://whoicf2.whoi.edu/science/B/whalesounds/index.cfm,,
yodas,YODAS: YouTube-oriented dataset of audio and speech,speech,1,24,yes,w/,w/,422000,"eng, jpn, cmn, others",CC BY 3.0,https://huggingface.co/datasets/espnet/yodas2,https://huggingface.co/datasets/espnet/yodas2,,
yt8m-musictextclips,YouTube8M-MusicTextClips,music,1,others,yes,w/,w/,11,eng,adove research license,https://zenodo.org/records/8040754,https://zenodo.org/records/8040754,,
zed,Zaion Speech Emotion Diarization,speech,1,16,yes,w/,w/,21,eng,CC BY-NC 4.0,https://github.com/BenoitWang/Speech_Emotion_Diarization?tab=readme-ov-file,https://www.dropbox.com/scl/fi/2s3ro8tmgt1lir77z3hj5/ZED.zip?rlkey=qkizx7t3ozo02xs7k1tlexb1e&e=1&st=9l466c1c&dl=0,,
